epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11423.3,1.96118,4.00912,1.78016,0.25739,0.3254,0.1755,0.05478,2.11203,3.13399,1.95123,0.000665165,0.000665165,0.000665165
2,15178.3,1.96877,2.89642,1.82409,0.35988,0.09524,0.09278,0.03066,2.14846,3.48198,1.93813,0.00119998,0.00119998,0.00119998
3,18859.1,1.93334,2.59749,1.82611,0.35789,0.38927,0.28332,0.1008,2.08293,2.51147,1.85259,0.0016028,0.0016028,0.0016028
4,22459.6,1.87911,2.48998,1.76801,0.36002,0.33333,0.26922,0.09363,2.14017,2.49337,1.88911,0.001406,0.001406,0.001406
